operator_code,flight_count,periods_active,route_count,delayed_over_15_count,median_arrival_delay_min,median_scheduled_duration_min,delay_over_15_pct,scope_id,scope_label,operator_name,operator_country,executive_eligible
AEA,3172,4,58,967,8.2417,573.25,30.4855,scheduled_duration_3h_or_more,3 hours or more,AIR EUROPA,SPAIN,True
AEE,3942,4,133,660,2.925,203.9833,16.7428,scheduled_duration_3h_or_more,3 hours or more,AEGEAN AIRLINES,GREECE,True
AFG,129,4,17,45,5.2833,270.9167,34.8837,scheduled_duration_3h_or_more,3 hours or more,ARIANA AFGHAN AIRLINES,AFGHANISTAN,False
AFL,3220,4,66,589,-2.6,295.975,18.2919,scheduled_duration_3h_or_more,3 hours or more,AEROFLOT - RUSSIAN AIRLINES,RUSSIAN FEDERATION,True
AFR,20316,4,317,9997,14.7167,464.475,49.2075,scheduled_duration_3h_or_more,3 hours or more,AIR FRANCE,FRANCE,True
AHY,1065,4,53,197,4.2,195.9833,18.4977,scheduled_duration_3h_or_more,3 hours or more,"AZERBAIJAN HAVA YOLLARI, NATIONAL AIRLINE",AZERBAIJAN,True
AIC,3061,4,52,1295,11.8667,561.95,42.3064,scheduled_duration_3h_or_more,3 hours or more,AIR INDIA LIMITED,INDIA,True
AIZ,369,4,42,119,8.3667,255.3333,32.2493,scheduled_duration_3h_or_more,3 hours or more,ARKIA ISRAEL INLAND AIRLINES,ISRAEL,False
ALK,459,4,14,206,12.6,645.2167,44.8802,scheduled_duration_3h_or_more,3 hours or more,SRILANKAN AIRLINES,SRI LANKA,False
AMC,568,4,21,155,6.7417,187.9167,27.2887,scheduled_duration_3h_or_more,3 hours or more,AIR MALTA PLC.,MALTA,True
AMW,141,4,11,45,6.8,213.6,31.9149,scheduled_duration_3h_or_more,3 hours or more,ARMENIA AIRWAYS AIR COMPANY,ARMENIA,False
AMX,1441,4,12,765,16.6333,630.8,53.0881,scheduled_duration_3h_or_more,3 hours or more,"AEROVIAS DE MEXICO, S.A. DE C.V.",MEXICO,True
ANA,730,4,15,271,9.4917,819.8083,37.1233,scheduled_duration_3h_or_more,3 hours or more,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,True
ANE,25,4,9,1,-3.9333,190.2167,4.0,scheduled_duration_3h_or_more,3 hours or more,"AIR NOSTRUM LINEAS AEREAS DEL MEDITERRANEO, S.A.",SPAIN,False
ARG,316,4,11,23,0.55,748.7833,7.2785,scheduled_duration_3h_or_more,3 hours or more,AEROLINEAS ARGENTINAS,ARGENTINA,False
ASL,372,4,31,114,7.8,209.3917,30.6452,scheduled_duration_3h_or_more,3 hours or more,AIR SERBIA,SERBIA,False
ATN,24,4,6,3,-0.3333,460.4833,12.5,scheduled_duration_3h_or_more,3 hours or more,"AIR TRANSPORT INTERNATIONAL (LITTLE ROCK, AR)",UNITED STATES,False
